OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
127;Source Cafe - St Nicholas Market;St Nicholas Market Office, St Nicholas Market, Corn Street, Bristol;BS1 1JQ;Central;Covid:19- OPEN Monday- Friday 09:30-17:00, Saturday 09:30-17:30;2;3;2;0;1;YES in the cafe - support rail movable, door 87cm, cubical 216x142, no lugs mirror, non reflective walls non slip floor accessible locks;N;N;yes;N;Y;N;N;;N;"{""coordinates"": [-2.593530520252358, 51.45440242450141], ""type"": ""Point""}";51.45440242450141,-2.593530520252358
498;BCC Customers Service Point;100 Temple Street, Redcliff, Bristol;BS1 6AG;Central;Monday-Tuesday 9am-4:45pm, Wednesday 10am- 4:45pm  Thursday-Friday 9am-4:45pm;;;;3;1;YES - 2 units, 1 is changing places;Y;Y;Y during opening times;Y;Y;;;Y;;"{""coordinates"": [-2.586578872239177, 51.449602989318635], ""type"": ""Point""}";51.449602989318635,-2.586578872239177
3429;Bristol South Swimming Pool;Dean Lane;BS3 1BS;Southville;Monday 07:30-20:00. Tuesday 07:30-19:00. Wedensday-Thursday 07:30-20:00. Friday 07:30-18:00. Saturday 08:00-15:45.;1;;1;;1;YES - Door 120cm. Cubical size 351x409cm. Seat height 48cm. hieght adjustable changing bed.;Y;N;Yes - during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.6006128914410773, 51.442256748796005], ""type"": ""Point""}";51.442256748796005,-2.6006128914410773
3;Ardagh Public Conveniences Horfield Common;Kellaway Avenue, Horfield, Bristol;BS6 7YL;Bishopston & Ashley Down;Monday-Sunday 08.00-17.15 (winter), 08:00-21.15 (summer), excluding Christmas Day;1;1;2;0;1;YES - Moveable support rail, door 86cm, cubicle 160 x 367cm, seat 48cm, coloured skirting, non reflective wall, non slip floor, accessible locks;N;N;No;Y;N;N;N;;N;"{""coordinates"": [-2.592906481593013, 51.485066846419336], ""type"": ""Point""}";51.485066846419336,-2.592906481593013
7;Ashton Court Estate Public Conveniences Stable yard;Kennel Lodge Road, Long Ashton, North Somerset;BS41 9JN;North Somerset Ward;Monday-Sunday 07.00-17:00 (winter), 07:00-19:00 (summer), excluding Christmas Day;2;2;5;0;1;YES - Moveable hand rail, door 89cm, cubicle 167 x 194cm, seat of toilet 48cm, mirror, non reflect walls, non slip floor, accessible locks;N;N;;N;Y;N;N;;N;"{""coordinates"": [-2.637750362618646, 51.444193779986655], ""type"": ""Point""}";51.444193779986655,-2.637750362618646
41;Oldbury Court Estate - Public Conveniences;Oldbury Court Road, Bristol;BS16 2JH;Frome Vale;Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day;0;1;0;2;1;YES - Support rail moveable, door 85cm, cubicle 200 x 220cm, 53cm seat height, mirror, colour contrast skirting, non reflective wall, non-slip floor;N;N;no;N;Y;N;N;N;N;"{""coordinates"": [-2.5281769032017483, 51.48791461943577], ""type"": ""Point""}";51.48791461943577,-2.5281769032017483
50;Broadwalk Shopping Centre;Broadwalk, Knowle, Bristol;BS4 2QU;Knowle;Monday-Thursday 08:00-18:30, Friday 08:00-19:30, Saturday 08:00-18:00, Sunday 10:00-16:00;2;3;5;;1;YES - Radar key. If you don't have a radar key, push bell;N;N;Yes- during opening hours;Y;Y;N;N;;N;"{""coordinates"": [-2.5680095577387103, 51.434414624280016], ""type"": ""Point""}";51.434414624280016,-2.5680095577387103
32;Suspension Bridge Toilets;Suspension Bridge Road, opposite toll station;BS8 3ZZ;Clifton;7 days a week Winter 08:00-20:30;;;;4;Yes;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.625202492882247, 51.45608089540172], ""type"": ""Point""}";51.45608089540172,-2.625202492882247
578;South Bristol Crematorium and Cemetery;Bridgwater Road, Bristol;BS13 7AS;Bishopsworth;Monday-Friday 09:00-16:00, weekends and bank holidays 11:00-16:00;1;;1;;1;YES - Female and disabled toilets shared access, ramp to the door;N;N;No;N;N;N;N;N;Y;"{""coordinates"": [-2.624448901566282, 51.42423954621584], ""type"": ""Point""}";51.42423954621584,-2.624448901566282
1281;Greenbank Cemetery (The Mortuary);Greenbank Road, Easton, Bristol;BS5 6HL;Eastville;Monday- Friday 09:00-16:30;;;;1;0;None;N;N;No;N;N;N;N;N;Y;"{""coordinates"": [-2.555276238395372, 51.47042645117558], ""type"": ""Point""}";51.47042645117558,-2.555276238395372
73;Asda Whitchurch;Whitchurch District Centre, Oatlands Avenue;BS14 0ST;Hengrove & Whitchurch Park;"Monday 08:00-23:00; Tuesday-Friday 7.30am-11pm; Saturday 7am - 10pm; Sunday 10am - 4pm";1;2;4;;1;YES;N;N;Yes - during store opening hours;N;Y;N;N;Y;N;"{""coordinates"": [-2.570960920550013, 51.413908084617944], ""type"": ""Point""}";51.413908084617944,-2.570960920550013
157;Southville Centre;"Beauley Rd,
BS3 1QG";BS3 1QG;Southville;Monday-Thursday 8:30-20:15, Friday 8:30-18:00.;1;3;3;;1;YES - Door 86cm, Cubical: 193x199cm. Seat height 48cm. Support rails.;N;;Yes during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.605536146122216, 51.44368561598767], ""type"": ""Point""}";51.44368561598767,-2.605536146122216
612;The Park, Daventry Road;Daventry Road, Knowle, Bristol;BS4 1DQ;Knowle;Monday-Friday 7:00-22.00, Saturday-Sunday 9:00-16:00;1;;3;;1;YES - Support rail moveable, door width 95cm, cubical size 220 x 242cm, height of seat 50cm, non reflecting wall, non slip floor;;;;;Y;;;;;"{""coordinates"": [-2.581462542285288, 51.429724968128], ""type"": ""Point""}";51.429724968128,-2.581462542285288
61;Sainsbury's - Clifton Down;"Clifton Down Shopping Centre, Whiteladies Road,
BS8 2NN";BS8 2NN;Clifton Down;COVID-19: OPEN Monday-Saturday 08:00-22:00 Sunday 11:00-17:00;2;;3;;1;YES- Cubical size 140 x 300cm, door width 103cm, height of seat 49cm.;N;N;Y - During open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.610613220835197, 51.46400788392814], ""type"": ""Point""}";51.46400788392814,-2.610613220835197
7777;Vaulted Chambers Cafe;Castle Park;BS2 0HQ;Central;Wed-Sun 09:30 to 16:30;;;;;1;;;;;;;;;;;"{""coordinates"": [-2.586151838424116, 51.45574270503759], ""type"": ""Point""}";51.45574270503759,-2.586151838424116
3505;Cabot Circus Shopping Centre, Lower ground floor;Glass House, Broadmead;BS1 3BX;Central;Monday-Saturday 09:00-20:15, Sunday 09:00-17:30;9;20;19;;4;"YES - 4 standard units; support rails; seat hight 36- 40cm; non slip foor, none reflecting walls/floors, CP seat hight 47cm hoist and changing table";Y;N;Yes 24 hour;Y;Y;;N;Y;Y;"{""coordinates"": [-2.584332317762057, 51.45894030214083], ""type"": ""Point""}";51.45894030214083,-2.584332317762057
3473;Campus Pool;Whitchurch Rd, Bishopsworth;BS13 7RW;Bishopsworth;Monday-Thursday 10:00-21:00, Friday and Saturday 10:00-18:00;;;;;1;YES - Support Rail movable, Cubicale size 234x308, Door width 90, Seat height 48cm;;;;;;;;;;"{""coordinates"": [-2.617139638079339, 51.415985114521185], ""type"": ""Point""}";51.415985114521185,-2.617139638079339
2;Victoria Park Public Conveniences Park Lodge;Somerset Terrace, Bristol;BS3 4LL;Windmill Hill;Winter Monday - Sunday 07:30 - 17.15. Summer 07:30 - 20:30, excluding Christmas Day;1;1;2;;1;YES - Support rail movable, Door 79cm, 126x230cm, Non reflective walls non slip floor acc locks;N;N;no;Y;;N;N;;N;"{""coordinates"": [-2.589757490670152, 51.44008663756342], ""type"": ""Point""}";51.44008663756342,-2.589757490670152
74;The Yeoman;700 Wells Road;BS14 9HX;Stockwood;Monday to Sunday 11:00 - 23:00;2;2;5;0;1;YES- cubicle 153cmx200cm, door 86cm, seat height 43, contrasting skirting board, RADAR lock, none slip floor, handrails.;N;N;;Y;Y;N;N;Y;N;"{""coordinates"": [-2.5592946629152973, 51.413514523951385], ""type"": ""Point""}";51.413514523951385,-2.5592946629152973
53;McDonald's - Brislington;"Bath Road / Emery Road,
BS4 5PF";BS4 5PF;Brislington East;24 hours;2;?;2;;1;YES- cubicle 94cmx140cm, Door width 73cm, seat height 49cm, contrasting skirting board, non slip floor, handrails, no locking seat lugs.;N;;Yes - during open times;N;Yes;N;N;;Y;"{""coordinates"": [-2.538740561366427, 51.43006562614154], ""type"": ""Point""}";51.43006562614154,-2.538740561366427
8097;Underfall Yard - Near Cafe;;BS1 6XG;Hotwells & Harbourside;;;;;2;1;Open Access;;;;;;;;;;"{""coordinates"": [-2.618052915668803, 51.44701300860932], ""type"": ""Point""}";51.44701300860932,-2.618052915668803
47;Dundridge Public Conveniences;"Recreation Ground Dundridge Lane Bristol,
BS5 8SZ";BS5 8SZ;St George Troopers Hill;During match play only;;;;;0;NONE;N;;;;;N;N;;N;"{""coordinates"": [-2.5287121592879, 51.44983008269952], ""type"": ""Point""}";51.44983008269952,-2.5287121592879
625;Canford Cemetery and Crematorium;Canford Lane, Westbury-on-Trym, Bristol;BS9 3PQ;Westbury-on-Trym & Henleaze;Monday-Friday 09:00-16:00, weekends and bank holidays 11:00-16:00;0;0;0;1;1;YES - Support rail moveable, door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, colour contrast skirting, non reflective wall, non-slip floor;N;N;Yes. During opening hours;N;N;N;N;N;Y;"{""coordinates"": [-2.627003665275031, 51.494375023177895], ""type"": ""Point""}";51.494375023177895,-2.627003665275031
3073;Horfield Lesuire centre;Dorinan Road, Horfield;BS7 0XW;Horfield;OPEN Monday-Friday 06:30-22:30, Saturday-Sunday 08:00-20:00;1;1;2;;1;YES - Cubical size 200-290cm. Door 80cm. Seat height 48cm;N;N;Yes - during open times;N;N;N;N;Y;Y;"{""coordinates"": [-2.583776526895245, 51.493688581436906], ""type"": ""Point""}";51.493688581436906,-2.583776526895245
84;JD Weatherspoon - Van Dyck Forum;Van Dyck Forum, 748-756 Fishponds Road;BS16 3UA;Frome Vale;Sunday - Thursday 08:00 - 00:00. Friday - Saturday 08:00- 01:00.;3;6;6;;1;YES - Cubical size 200x140cm, Seat height 49cm, Handrails;N;N;Yes- during open times;Y;Y;N;N;;N;"{""coordinates"": [-2.530237749350775, 51.47957671971242], ""type"": ""Point""}";51.47957671971242,-2.530237749350775
116;Sainburys Winterstoke Road;111 Winterstoke Road;BS3 3NS;Bedminster;Monday-Saturday 07:00-22:00, Sunday 10:00-16:00.;2;2;3;;1;YES - Door width 90cm, Cubical size 229x229cm. Seat height: 48cm. Handrails;N;N;Yes - during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.619350678609898, 51.43372481187929], ""type"": ""Point""}";51.43372481187929,-2.619350678609898
142;Fishponds Library;Robinson House, Hockeys Lane, Bristol;BS16 3HL;Eastville;Monday-Tuesday 10am-5pm, Thursday 11am-7pm, Friday-Saturday 10am-5pm, Sunday closed.;;;;1;1;YES - Single unit - unisex, Disabled access and Baby change;N;N;;N;Y;N;N;N;N;"{""coordinates"": [-2.533123283547419, 51.477585475128706], ""type"": ""Point""}";51.477585475128706,-2.533123283547419
143;Henbury library;Crow Lane, Henbury, BS10 7DR;BS10 7DR;Henbury & Brentry;11-5 Monday, 11-7 Wednesday, 11 - 5 Friday, 11 - 5 Saturday;;;;1;Yes;Level access;N;N;N;N;Y;N;N;N;N;"{""coordinates"": [-2.619480201476522, 51.50968369538701], ""type"": ""Point""}";51.50968369538701,-2.619480201476522
641;Ambition Lawrence Weston, Lawrence Weston Youth Centre;Lawrence Weston Road, Long Cross, Bristol;BS11 0RX;Avonmouth & Lawrence Weston;Monday to Friday 09:00-16:00 with ad-hoc additional hours;;;;;1;YES - Handrails, non slip floor, mirror;;;;;;;;;;"{""coordinates"": [-2.653822353529556, 51.50494249175576], ""type"": ""Point""}";51.50494249175576,-2.653822353529556
1745;Helios - Sea Mills Surgery;2 Riverleaze;BS9 2HL;Stoke Bishop;Monday-Friday 08:00-18:30;0;0;0;1;1;YES - Moveable support rail, door 78cm, cubical 210 x 164cm, toilet height 45cm, non reflective wall/non-slip floor;N;Y;yes during opening hours;N;Y;N;N;Y;Y;"{""coordinates"": [-2.650086369413361, 51.48491192441396], ""type"": ""Point""}";51.48491192441396,-2.650086369413361
70;Morrison's - Hartcliffe;Hareclive Rd, Petersons Avenue, Hartcliffe;BS14 0BE;Hartcliffe & Withywood;7am - 10pm;2;3;3;;1;YES - Cubical size 140-200cm. Seat Height 48cm. handrails.;N;;Y during open hours;N;Y;N;N;Y;Y;"{""coordinates"": [-2.599634281854772, 51.40520040398443], ""type"": ""Point""}";51.40520040398443,-2.599634281854772
5153;the Life Boat;25 High St, Bristol;BS11 0DX;Avonmouth & Lawrence Weston;Monday - Saturday 10:00 - 23:00  Sunday 12:00 - 22:00;1;1;1;;0;None;N;N;;N;N;N;;Y;Y;"{""coordinates"": [-2.675368178947804, 51.48900359480954], ""type"": ""Point""}";51.48900359480954,-2.675368178947804
1;Snuff Mills Park Public Conveniences;"River View, Bristol,
BS16  1DL";BS16 1DL;Frome Vale;Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day;1;0;0;2;1;YES - Door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, coloured skirting, non reflective wall, non slip floor, accessible lock;N;N;;Y;Y;N;N;N;N;"{""coordinates"": [-2.544486647845698, 51.48623723049221], ""type"": ""Point""}";51.48623723049221,-2.544486647845698
4;Brandon Hill Park - Public Conveniences;Great George Street, City Centre, Bristol;BS1 5RR;Hotwells & Harbourside;Monday - Sunday 08.00 - 15.30, excluding Christmas Day;1;1;1;0;1;YES - Support rail, cubicle size 188 x 270cm, seat height 48cm, mirror, contrast skirting, non reflective wall, non-slip floors, accessible locks;N;N;no;N;Y;N;N;;N;"{""coordinates"": [-2.607472789568813, 51.45374213233456], ""type"": ""Point""}";51.45374213233456,-2.607472789568813
55;Burger King;4 Eastgate Road, Eastgate Centre;BS5 6XX;Lockleaze;COVID-19: CLOSED Monday-Friday 08:00-23:00, Saturday-Sunday 09:00-23:00;;;;;1;YES;N;N;Yes - during open times;N;Y;N;N;;N;"{""coordinates"": [-2.5650459887428942, 51.47404649410268], ""type"": ""Point""}";51.47404649410268,-2.5650459887428942
81;Burger King - St Phillips Causeway;"St Phillips Causeway,
BS4 3BD";BS4 3BD;Brislington West;"10am-10pm Sun-Thu; Fri 10am-12 midnight; Sat 9am-12 midnight";;;;;0;;N;;;;;N;N;;N;"{""coordinates"": [-2.56143165298191, 51.44230494395833], ""type"": ""Point""}";51.44230494395833,-2.56143165298191
120;Grupo Lounge (Lounges);8 Canford Lane;BS9 3DH;Westbury-on-Trym & Henleaze;Mon- Sun 9am-11pm;1;;2;;1;YES- door width 85cm, cubicle size 220x130cm, seat height 48cm, handrails, mirror, contrasting floor wall,;;N;Yes during open times;N;Y;;N;;;"{""coordinates"": [-2.619475374039026, 51.492886565232176], ""type"": ""Point""}";51.492886565232176,-2.619475374039026
529;SS Great Britain;Great Western Dockyard, Gas Ferry Road, Bristol;BS1 6TY;Hotwells & Harbourside;Monday-Sunday 10:00-16:30;;;;;1;YES;;;;;;;;;;"{""coordinates"": [-2.607459445906513, 51.44884116324008], ""type"": ""Point""}";51.44884116324008,-2.607459445906513
1617;Cafe on the Square;Shirehampton Road, Bristol;BS9 2DY;Stoke Bishop;Monday-Saturday 10:00-14:00;0;0;0;1;1;YES - Door 90cm, seat height 48cm, cubical size 152-200cm;N;N;N;N;Y;N;N;Y;Y;"{""coordinates"": [-2.647597981555509, 51.48798155895088], ""type"": ""Point""}";51.48798155895088,-2.647597981555509
2065;Bradgate Health Centre (Pioneer Medical Group);Ardenton Walk, Brentry;BS10 6SP;Henbury & Brentry;Monday-Friday 08:00-18:30, Saturday 08:00-13:00;0;0;0;2;1;Yes - Cubical size 200x200cm. Door 100cm, Seat height 40cm.;N;N;No;N;Y;N;N;Y;Y;"{""coordinates"": [-2.617683193432173, 51.51027087537396], ""type"": ""Point""}";51.51027087537396,-2.617683193432173
59;Tesco - Golden Hill;"Golden Hill, Lime Trees Road,
BS6 7XW";BS6 7XW;Westbury-on-Trym & Henleaze;Monday-Saturday 08:00-22:00, Sunday 10:00-16:00;1;2;2;;1;YES - Movable handrails. Cubical size 150-170cm. Seat height 48cm.;N;N;Y - During open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.596169941062511, 51.48572511479389], ""type"": ""Point""}";51.48572511479389,-2.596169941062511
1633;The Jersey Lily;193 Whiteladies Road, Bristol;BS8 2SB;Clifton Down;Monday-Wedensday 11:00-23:00, Thurs- Saturday 11:00-00:00, Sunday 12:00-23:00;1;3;1;;0;NONE;;;;;;;;;;"{""coordinates"": [-2.614014473803496, 51.46950229652369], ""type"": ""Point""}";51.46950229652369,-2.614014473803496
5489;The Hub;1 Fedden Building, Gainsborough Square;BS7 9FB;Lockleaze;Monday - Friday 9am - 3pm;1;;1;;YES;YES;N;;;;Y;;;Y;Y;"{""coordinates"": [-2.5625930621243773, 51.49008840678964], ""type"": ""Point""}";51.49008840678964,-2.5625930621243773
3521;Avonmouth Community Centre;257 Avonmouth Road, Avonmouth;BS11 9EN;Avonmouth & Lawrence Weston;Monday - Thursday 09.30-16:30;1;3;2;;1;YES - Movable support rails, Cubical size 170 - 240cm. Seat height 46cm.;N;N;Y - Monitored during open times;N;N;N;N;Y;Y;"{""coordinates"": [-2.698363379203755, 51.50016251963024], ""type"": ""Point""}";51.50016251963024,-2.698363379203755
3841;Redcatch Park Pavillion;Redcatch Park, Broad Walk, Knowle;BS4 2RA;Knowle;07:00- 16:00 for event or when other toilets in the park are broken;0;0;0;2;1;YES - movable support rail, door 89cm, 171x150cm, 42cm high, mirror, coured skirting, non slip floor, non reflective wall, accessible lock;N;N;no;N;N;N;N;N;;"{""coordinates"": [-2.5713956534852143, 51.43394638775215], ""type"": ""Point""}";51.43394638775215,-2.5713956534852143
3427;Henbury Sports Centre;Avonmouth Way;BS10 7NG;Henbury & Brentry;Monday-Saturday 07:15-22:00, Sunday 07:30-20:00;1;1;2;0;1;YES - Cubical size 320-152cm, Seat height 47cm, Door width 80cm.;N;N;Yes - During open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.632790980910348, 51.50930610843375], ""type"": ""Point""}";51.50930610843375,-2.632790980910348
3476;Tobacco Factory;Raleigh Road, Bristol;BS3 1TF;Southville;OPEN Monday-Thursday and Sunday 10:00-23:00, Friday-Saturday 10:00-12:00;4;;4;;1;YES - Door width 88cm;;;;Y;;;;;;"{""coordinates"": [-2.613502116494648, 51.44238895115573], ""type"": ""Point""}";51.44238895115573,-2.613502116494648
51;Sainsbury's - St Phillips Causeway;"St Philips Causeway, St Philips,
BS4 3QU";BS4 3QU;Brislington West;7am - 10pm;4;?;4;0;0;Yes- Door width 90cm, cubicle size 195cmx270cm, seat height 48cm, contrasting skirting, non-slip floor, accessible lock, hand rails.;N;N;Yes- during open times.;N;Yes;N;N;Y;N;"{""coordinates"": [-2.559828786953561, 51.44301396452345], ""type"": ""Point""}";51.44301396452345,-2.559828786953561
6;Blaise Castle House Museum and Roman Villa;Henbury Road;BS10 7QS;Henbury & Brentry;Thu- Sun 11:00- 16:00, open Mondays during Bristol school holidays 10:00-17:00. Full details available on www.bristolmuseums.org.uk;1;3;1;;0;NONE;N;;;;Y;N;N;;N;"{""coordinates"": [-2.632438200600677, 51.50576615730659], ""type"": ""Point""}";51.50576615730659,-2.632438200600677
2418;East Trees Health Centre;100a Fishponds Road;BS5 6SA;Eastville;COVID-19: CLOSED Monday 08:00-19:30, Tuesday-Friday 08:00-18:30;2;;2;;1;YES - Door width 90cm, cubicle size 220 x 140cm, moveable support rails;N;N;Yes during open times;;;Y;;;;"{""coordinates"": [-2.562200367115904, 51.47010419996987], ""type"": ""Point""}";51.47010419996987,-2.562200367115904
63;Helios Medical Centre Stoke Hill;17 Stoke Hill, Bristol;BS9 1JN;Stoke Bishop;Monday 8:00-19:00, Tuesday 8:00-20:00, Wednesday 07:30-18:30, closed Thursday, Friday 08:00-18:30;0;0;0;1;1;YES - Movable support rails, Cubical 200x150, Seat height 53cm, Mirror, non slip floor;N;N;yes during opening hours;N;Y;N;N;;N;"{""coordinates"": [-2.630751883075318, 51.475410674718354], ""type"": ""Point""}";51.475410674718354,-2.630751883075318
5138;Creative Workspace;Queens Road, Withywood, Bristol;BS13 8LF;Hartcliffe & Withywood;Tuesday-Friday 9:00-15:00;2;;3;;1;YES - Movable supported rails, Door width 85cm, Size of cubical 2m by 2m, Seat height 48cm, Mirror, Non-slip floor, Colour contrasting skirting;;;;;;;;;;"{""coordinates"": [-2.618566009850083, 51.41082577586728], ""type"": ""Point""}";51.41082577586728,-2.618566009850083
